Year ,X,Y
2017,36.227947,27.625076
2017,36.406175,27.452644
2017,35.191942,24.143457
2017,34.930485,24.802379
2017,36.087409,28.088405
2017,36.070524,28.047214
2017,36.173128,28.105036
2017,35.40749,27.153068
2017,36.095768,28.09045
2017,36.379719,28.239012
2017,35.179617,24.395664
2017,34.92402,26.128635
2017,35.469379,27.195089
2017,36.378871,28.241711
2017,34.953254,25.137108
2017,35.164958,24.415054
2017,36.042562,27.970541
2017,35.006451,26.141408
2017,36.318979,28.206942
2017,36.319205,28.208332
2017,36.320292,28.207243
2017,36.811629,27.182363
2017,37.01294,26.91812
2017,35.179752,24.227789
2017,34.997229,25.581359
2017,36.317663,28.208233
2017,35.187566,24.390316
2017,35.205739,26.120299
2017,34.930485,24.802379
2017,37.288954,26.729437
2017,35.008553,26.146878
2017,36.379719,28.239012
2017,36.096517,28.086036
2017,35.19185,24.074731
2017,35.007699,26.151937
2017,35.176068,24.234275
2017,35.195821,24.127259
2017,36.585408,26.423975
2017,36.935349,26.920737
2017,35.171868,24.401393
2017,36.379768,28.238998
2017,35.170721,24.412027
2017,35.002203,25.732321
2017,35.009141,26.149658
2017,35.172151,24.400634
2017,35.447523,27.16204
2017,36.46807,28.129896
2017,35.187085,24.390978
2017,35.171868,24.401393
2017,35.176425,24.392863
2017,36.720066,26.983918
2017,36.890295,27.331688
2017,35.40749,27.153068
2017,35.604653,27.160267
2017,,
2017,37.20087,26.32351
2017,36.556401,27.820466
2017,35.474171,22.9985862
2018,34.648754,32.727848
2018,34.665026,32.8765
2018,34.8894,33.6508
2018,34.8894,33.6508
2018,34.8894,33.6508
2018,34.962517,33.822753
2018,34.981064,33.731378
2018,34.981598,33.741605
2018,34.983663,34.071863
2018,35.001671,33.891427
2018,35.002961,34.064956
2018,36.71588,28.237316
2018,36.754168,27.891891
2018,36.794,15.102
2018,31.817444,25.054444
2018,32.851639,22.431333
2018,35.57839,24.07506
2018,35.097904,26.264428
2018,35.097904,26.264428
2018,36.72972,22.585061
2018,36.993739,25.134371
2018,36.866966,22.247117
2018,35.51095,27.210866
2018,35.51684,27.200635
2018,36.860414,25.874432
2018,36.589541,26.332639
2018,35.24688,23.807703
2018,34.937739,25.085902
2018,35.236693,23.720677
2018,35.18159,24.399713
2018,35.093248,24.63193
2018,34.925839,24.960506
2018,34.971863,25.272479
2018,35.016917,25.862483
2018,35.172224,24.400331
2018,36.519361,26.304166
2018,35.17418,24.412008
2018,35.236518,23.718249
2018,36.214977,28.152367
2018,36.895106,27.293235
2018,36.807974,27.173725
2018,35.800357,27.17067
2018,34.971769,25.272457
2018,35.172233,24.400549
2018,36.223363,27.61403
2018,35.237176,23.652163
2018,35.098366,26.263939
2018,34.932535,24.806407
2018,36.926417,26.969222
2018,35.541413,24.034543
2018,34.949701,25.175406
2018,36.895732,27.293818
2018,35.216585,26.274399
2018,35.232315,23.620765
2018,36.019235,27.929591
2018,35.254529,26.265237
2018,35.186807,24.315854
2018,35.187165,24.31574
2018,36.090213,28.092006
2018,35.926981,27.856422
2018,36.455633,28.224049
2018,35.881629,27.773085
2018,37.190638,26.81632
2018,36.222678,27.612469
2018,35.231278,23.678276
2018,35.51695,24.02537
2018,36.426329,28.233418
2018,35.510092,27.207685
2018,35.589671,27.179279
2018,35.220977,23.672292
2018,35.587835,27.1788
2018,36.566352,27.863772
2018,36.58427,27.864019
2018,35.18159,24.399713
2018,36.072903,28.038043
2018,35.194682,25.717282
2018,37.514528,26.057556
2018,36.257694,22.914722
2018,36.864887,22.246224
2018,34.866092,24.114353
2018,34.982384,25.280405
2018,35.261764,26.265023
2018,35.198747,24.13498
2019,36.22327,29.400567
2019,35.04718,34.0465
2019,35.056536,34.017691
2019,35.122218,33.960835
2019,36.801,15.102
2019,36.454956,22.97832
2019,34.931733,24.95315
2019,38.284,21.095
2019,35.416992,26.932342
2019,36.474554,22.971935
2019,36.6283491,22.3179122
2019,36.913124,23.467433
2019,35.1871681,26.3045418
2019,36.857536,25.531228
2019,35.264478,26.263907
2019,36.132838,22.990012
2019,36.428568,22.485772
2019,36.458418,25.405768
2019,36.86283056,22.25015556
2019,35.008628,25.742168
2019,37.014456,21.622228
2019,37.257613,21.538588
2019,38.06995,20.803222
2019,36.4862,22.5113
2019,37.0431,21.5465
2019,38.0731,20.8014
2019,36.655178,22.81716
2019,36.876667,27.350304
2019,36.353263,25.373123
2019,38.073062,20.801371
