Species,Country,Year,Area,X - Longitude,Y - Latidue,Depth (m),Substrate,Individual,Observation method,Source
Pterois miles,Greece,2015,Rodos: Kallithea,28.2458,36.3855,7,sandy bottom,1,scuba diving,Dimitriadis et al. 2020
Pterois miles,Greece,2015,Rodos: Kallithea,28.2458,36.3855,5, ,1,nderwater photos ,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,28.582734,36.776034,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,Dalyan,28.595139,36.796365,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,Fethiye,29.091667,36.644444,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,"Kalkan, Antalya",29.41,36.25,18, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,29.630391,36.168904,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,"Ka?, Antalya",29.64,36.19,0, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,"Ka?, Antalya",29.64,36.19,0, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,"Ka?, Antalya",29.64,36.19,4, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,"Ka?, Antalya",29.64,36.19,0, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,"Ka?, Antalya",29.64,36.19,10, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,29.651255,36.145239,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,29.684785,36.12669,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,"Adrasan, Antalya",30.47,36.21,5, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,"Adrasan, Antalya",30.47,36.21,12, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,30.680346,36.805087,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,30.689208,36.812101,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,30.874283,36.840377,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,32.021814,36.518172,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,"Gazipa?a, Antalya",32.31666667,36.21666667,0, ,1,diving observations,Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Akrotiri, Limassol",33.016667,34.55,13,natural hard,1,Freediving /Spearfishing,Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,Cyprus,33.185753,35.374263,0, ,1,Fishing and observations,Dimitriadis et al. 2020
